hours_studied,attendance_pct,previous_score,sleep_hours,sample_papers_solved,extracurricular,parental_support,performance_index
2.7,77.6,59.9,7.5,7,1,2,52.7
3.0,66.6,43.9,6.7,2,1,3,50.3
3.5,77.2,35.3,4.6,4,0,3,36.6
6.6,60.9,61.1,7.4,3,1,3,51.3
5.8,69.0,65.8,8.0,6,1,3,64.2
7.0,82.7,45.7,5.5,3,0,1,66.4
4.6,95.8,64.5,6.5,4,1,1,74.2
5.8,100.0,65.8,4.4,5,0,2,64.4
6.9,73.0,35.0,5.0,2,1,2,45.6
4.8,97.2,51.3,7.8,7,0,3,57.2
6.5,82.9,71.1,5.9,4,1,3,70.4
4.0,78.2,70.8,5.2,5,0,1,57.8
4.7,85.2,47.7,6.8,5,1,1,60.8
4.7,80.7,67.4,5.9,1,0,1,58.6
2.9,81.3,80.3,5.9,3,1,2,58.7
6.6,75.1,76.7,7.4,4,0,2,71.0
4.5,63.2,63.6,5.1,3,1,1,46.0
5.5,61.5,58.0,5.4,4,0,3,57.7
6.6,87.8,55.6,,4,0,1,58.0
6.5,76.7,72.0,7.7,6,0,2,72.1
7.0,72.8,67.9,8.0,3,1,3,70.3
5.3,80.1,74.4,5.7,4,0,1,61.5
4.6,89.5,67.0,7.6,2,1,3,69.1
5.3,82.2,77.3,5.6,4,0,3,57.2
1.8,72.1,66.4,8.7,2,1,3,46.9
2.3,94.7,76.8,5.1,0,0,1,50.4
2.6,99.0,78.1,8.1,5,0,2,58.0
3.3,85.9,52.9,5.7,5,0,1,49.0
6.4,91.7,37.9,8.9,3,0,2,56.3
3.5,94.9,88.2,7.2,4,0,3,78.9
4.7,93.6,68.8,5.3,3,0,3,64.3
8.4,87.4,39.3,5.9,4,0,3,69.2
4.7,87.2,54.3,7.4,8,1,2,67.7
7.1,86.2,76.6,7.8,4,0,3,71.4
3.4,66.8,60.8,6.4,3,1,3,53.8
5.0,88.4,57.3,6.6,7,0,3,70.3
3.4,63.7,86.0,7.4,6,0,3,71.5
4.8,70.5,49.3,6.7,3,0,2,49.1
7.3,95.6,53.0,4.9,4,0,1,52.6
1.7,90.1,68.2,5.5,4,0,1,41.9
6.5,97.8,70.9,6.8,3,1,3,71.5
6.0,76.7,72.4,8.0,2,1,1,48.8
4.2,66.2,78.7,8.4,3,1,1,70.0
2.3,77.1,68.0,7.4,0,0,3,54.2
5.7,81.2,72.3,6.8,2,0,2,58.3
4.3,80.9,61.1,7.4,7,1,3,59.4
6.0,93.6,65.9,5.7,4,0,1,70.0
5.5,75.7,66.6,6.3,5,0,2,55.2
9.0,84.2,68.2,5.5,5,0,2,66.9
5.0,68.1,76.6,5.0,2,0,2,51.5
3.2,85.4,73.3,6.9,3,1,2,61.3
5.9,80.0,65.7,6.7,1,0,1,60.2
6.0,71.0,52.9,7.3,6,0,3,68.6
8.5,77.2,66.0,7.2,5,1,1,76.7
7.3,77.8,64.6,6.8,6,1,2,70.1
6.3,76.8,67.9,7.2,5,0,3,73.6
8.7,100.0,98.1,,2,0,2,79.9
2.9,78.8,57.1,7.0,3,1,1,39.3
4.1,77.1,71.3,5.6,5,0,1,53.4
3.5,54.8,81.0,6.9,3,0,2,48.7
4.6,69.3,66.5,7.3,2,0,2,50.8
2.5,76.8,100.0,5.7,4,0,3,60.1
6.9,71.8,59.3,6.6,5,1,1,59.0
5.0,96.6,69.9,5.8,2,1,2,68.2
2.3,78.0,53.0,5.9,4,1,1,57.4
3.3,95.5,59.7,5.2,1,1,2,43.6
6.2,80.7,68.7,8.0,4,1,2,60.3
7.3,80.4,77.7,7.8,7,1,1,71.2
9.9,78.9,69.8,7.1,6,1,1,81.9
11.9,80.0,83.9,8.9,5,0,1,85.3
6.4,100.0,63.6,6.3,0,0,2,58.5
3.3,52.2,60.0,9.0,1,0,1,46.9
0.8,56.0,100.0,6.2,2,0,1,55.2
6.1,73.5,70.9,6.8,8,0,1,66.8
3.7,80.2,54.2,6.0,4,0,1,45.4
4.6,88.3,54.6,6.9,3,1,1,58.0
4.2,85.7,50.9,7.5,5,0,2,55.4
5.2,75.4,79.0,6.4,2,0,1,57.6
7.8,92.2,59.5,8.6,6,0,1,68.9
5.8,92.4,66.9,6.8,3,0,1,68.7
5.2,82.2,64.0,6.8,5,1,1,63.6
3.2,91.6,76.0,5.4,4,0,1,65.4
1.8,83.3,52.3,7.0,7,0,1,58.9
4.4,73.3,48.9,6.3,2,0,3,52.7
5.4,88.4,68.4,5.8,2,1,3,61.6
9.4,81.3,74.0,5.6,4,1,1,79.9
5.8,80.0,70.0,9.0,2,0,1,64.4
7.7,97.7,52.9,6.2,4,0,2,82.8
4.4,50.6,75.2,4.8,4,1,3,57.4
2.9,63.0,53.8,,5,1,3,54.2
3.4,65.8,57.2,6.4,2,0,3,49.8
3.9,75.6,50.8,7.2,5,0,1,50.4
10.2,76.9,84.5,7.2,4,0,2,78.5
3.7,61.9,74.5,7.3,4,0,2,57.4
7.3,68.2,74.1,5.7,6,1,2,72.7
3.5,69.7,83.7,6.9,4,1,3,70.9
7.5,100.0,100.0,5.4,5,1,1,86.3
6.3,100.0,39.4,5.8,5,1,2,59.6
5.2,75.1,53.9,5.4,2,0,1,47.1
5.4,75.6,55.8,5.1,8,1,1,52.4
4.1,66.2,52.2,7.8,2,0,1,55.7
6.5,57.1,48.8,7.3,4,0,3,51.3
4.5,78.6,60.5,7.7,6,1,2,68.3
2.8,68.0,46.8,6.5,4,0,3,48.2
2.7,79.0,70.0,7.4,4,1,3,62.0
5.9,60.8,65.8,4.4,7,1,2,60.1
9.0,70.9,72.2,7.5,4,1,3,70.4
5.9,81.8,72.6,6.7,3,1,1,58.1
5.2,84.4,74.0,7.3,3,0,3,76.7
6.1,85.0,59.4,7.0,2,0,1,58.7
8.4,64.2,96.8,5.3,3,1,2,81.2
6.0,90.3,68.5,4.7,5,1,3,78.1
4.6,70.4,37.1,5.6,4,1,3,46.8
7.9,87.6,50.0,7.2,3,0,1,64.3
6.4,79.9,38.9,7.3,2,0,3,54.9
8.9,63.5,65.3,4.9,5,0,1,56.1
5.9,76.2,63.2,5.3,4,1,3,61.9
2.8,84.4,58.0,5.6,2,1,2,54.5
2.5,87.4,95.2,6.1,5,1,1,63.7
9.1,78.3,73.2,4.9,3,0,3,69.9
9.3,98.4,75.9,4.8,5,0,3,80.5
5.1,92.1,51.0,5.5,7,0,1,72.5
4.7,76.9,50.0,6.6,1,0,1,35.8
8.7,89.0,65.6,5.1,3,0,1,70.3
3.1,100.0,67.6,6.4,5,1,2,62.9
3.5,100.0,37.2,7.8,3,0,2,48.1
6.9,65.3,62.3,4.9,5,0,3,59.8
4.6,68.9,65.2,6.3,4,1,3,63.4
5.5,97.8,61.8,7.7,3,1,1,69.1
5.1,67.3,52.8,6.0,2,0,2,50.2
6.2,64.1,56.9,5.8,4,0,3,63.7
8.6,74.2,62.3,7.9,3,1,3,78.2
5.7,85.0,66.4,6.1,5,1,1,69.3
6.9,78.8,74.1,7.8,4,1,1,65.7
1.0,72.2,81.2,7.0,3,0,1,53.1
5.4,71.9,60.6,6.1,5,0,2,61.1
3.6,71.5,58.2,7.1,8,1,2,54.7
2.8,69.4,71.6,6.9,1,0,2,40.4
3.6,100.0,74.2,7.7,3,0,1,50.8
4.8,83.6,58.5,5.8,6,1,2,62.3
7.5,90.6,76.9,6.5,4,0,1,73.4
2.6,74.1,79.7,6.4,5,1,2,53.1
5.6,77.8,84.4,7.3,5,1,1,75.9
4.4,71.4,91.7,5.3,4,0,3,66.9
4.8,48.2,52.0,7.7,1,1,2,52.9
7.7,,65.2,7.1,8,0,1,68.8
6.7,58.3,65.2,4.9,3,1,3,52.5
8.4,53.0,63.5,7.9,2,1,3,66.1
5.2,65.7,55.3,9.0,0,1,1,53.9
4.0,95.9,42.7,7.7,6,0,1,52.7
5.0,79.5,66.4,8.2,5,1,1,54.7
6.0,95.5,53.5,6.6,4,1,2,65.4
5.9,84.9,66.3,4.5,1,1,2,53.4
3.1,89.4,53.1,4.3,1,1,2,55.3
5.7,69.2,48.5,6.8,4,0,2,50.8
6.0,86.3,68.5,5.8,3,1,2,75.5
11.0,88.7,67.3,5.4,5,0,1,64.3
9.6,73.1,73.7,6.4,7,0,1,76.0
3.6,86.7,97.8,7.2,2,1,3,80.1
4.9,86.8,69.2,4.8,1,1,3,55.3
2.3,73.4,72.3,6.0,2,1,3,53.0
4.2,66.5,48.8,8.3,2,0,3,47.2
6.2,65.8,45.7,5.2,5,0,2,48.1
8.2,81.0,88.7,7.5,2,0,3,78.5
3.9,83.9,51.1,5.9,2,0,3,44.1
4.1,70.5,49.3,7.2,3,1,3,51.8
0.8,80.3,64.4,7.8,4,1,1,53.1
5.1,86.8,63.6,7.4,4,0,1,59.4
3.2,87.4,51.5,7.6,3,0,2,46.3
4.3,98.6,60.4,5.1,4,0,2,66.4
3.6,95.3,83.4,7.8,2,1,3,73.8
5.3,68.0,52.9,5.5,2,1,1,42.7
1.6,100.0,44.1,6.8,6,0,3,46.8
2.3,73.6,79.1,6.8,5,0,3,54.0
10.2,92.5,72.4,7.1,10,0,3,93.8
2.7,80.8,55.7,6.9,6,0,1,53.7
3.1,75.1,41.3,5.5,2,1,1,45.9
9.5,58.3,53.8,4.9,4,1,1,57.8
11.9,77.9,64.2,7.5,6,0,3,77.4
2.9,61.3,82.5,6.7,4,1,3,64.9
4.7,91.6,49.5,7.9,0,0,2,49.5
6.3,98.2,63.7,6.4,4,0,1,66.9
9.3,70.4,75.1,4.8,4,1,2,62.6
3.3,83.6,35.0,7.7,1,0,3,41.7
5.0,71.3,80.5,6.1,3,0,2,67.0
7.2,72.5,47.3,6.9,3,1,1,51.9
6.5,89.3,70.0,5.7,4,1,2,73.9
4.7,79.5,68.7,8.5,4,0,2,48.4
5.2,100.0,81.3,5.4,6,1,2,71.8
2.5,74.2,73.3,6.1,3,0,3,53.7
5.0,,35.0,6.6,9,1,1,70.1
4.9,81.2,53.2,,5,0,2,48.8
6.0,89.5,67.1,6.9,7,1,3,78.4
4.3,74.6,62.1,8.4,2,0,1,59.2
6.5,79.4,72.2,5.9,5,1,1,62.5
7.7,78.6,76.8,7.0,5,1,1,70.2
5.8,70.0,74.1,4.0,2,0,2,57.8
6.3,87.9,61.8,6.5,6,1,1,58.0
5.6,87.8,37.3,6.1,4,0,3,52.9
5.5,87.1,58.2,,3,1,1,65.8
3.9,98.4,71.2,7.8,4,0,3,71.0
6.2,97.4,48.6,6.1,4,0,2,60.8
5.3,75.5,74.5,6.3,2,1,3,64.1
10.1,84.5,78.6,6.0,4,0,2,82.2
9.0,72.5,66.9,4.2,1,0,2,66.7
6.3,80.3,35.0,5.1,9,0,1,53.2
3.8,72.8,45.8,7.7,3,0,2,57.2
3.1,99.4,93.3,4.0,3,0,1,71.9
8.1,84.4,56.8,5.6,7,1,1,73.4
6.1,77.4,35.2,6.0,0,1,3,44.2
6.6,94.3,83.5,8.6,5,0,3,74.0
1.7,54.0,65.2,7.4,2,0,1,38.3
7.5,55.8,81.6,5.8,2,1,2,64.2
6.5,89.6,69.2,8.1,4,1,1,58.8
3.1,80.7,71.9,5.6,3,1,1,57.8
4.5,83.0,70.4,7.7,3,0,2,68.9
6.1,64.1,75.5,4.9,4,0,3,65.6
5.6,79.7,99.2,7.8,0,1,1,64.9
4.9,100.0,79.6,6.0,5,0,2,66.3
5.3,89.9,41.3,5.3,4,0,3,57.5
4.9,82.0,71.7,6.2,5,0,2,62.9
5.8,74.7,82.1,6.8,3,1,1,68.0
8.7,75.3,83.0,5.9,4,0,2,77.6
0.0,54.4,58.6,7.2,4,1,3,48.6
5.0,83.1,82.5,5.8,3,1,3,61.7
5.9,90.1,78.9,7.2,2,0,2,69.3
6.2,61.1,100.0,7.0,4,1,1,68.1
4.7,72.1,53.7,6.4,5,1,3,57.4
1.6,66.1,57.4,6.0,6,0,3,54.0
6.2,68.4,60.4,6.7,1,1,2,61.9
9.3,80.6,57.6,7.2,7,0,3,84.0
2.1,55.0,51.6,9.0,3,0,3,46.6
7.4,87.4,35.0,7.6,4,1,1,58.1
4.8,89.0,58.5,7.7,4,1,2,61.1
5.4,77.0,70.5,9.0,1,0,2,50.1
3.2,50.2,57.6,7.1,4,1,2,54.8
4.8,68.0,94.0,7.1,2,1,2,63.8
8.4,94.8,65.2,7.3,3,1,3,79.2
6.8,46.7,84.4,5.3,9,0,1,69.7
9.3,75.8,68.9,6.0,5,0,2,64.7
8.1,65.8,77.4,5.9,1,0,1,55.9
6.5,89.7,69.2,7.3,7,1,2,84.0
9.3,71.9,85.5,6.3,4,0,2,77.6
6.5,84.8,65.8,6.7,3,1,1,60.5
7.3,86.8,72.4,7.8,5,0,3,74.5
4.8,100.0,70.5,7.5,3,1,1,73.1
5.6,77.6,60.7,6.3,3,1,1,63.2
4.0,84.5,71.1,5.7,4,1,2,52.7
7.7,62.2,98.5,7.9,3,1,3,87.3
2.9,94.3,60.9,7.4,3,1,1,62.3
7.2,70.9,71.3,4.6,2,0,2,59.5
5.1,73.3,83.9,6.1,6,1,2,61.9
8.1,79.7,82.1,6.7,5,1,3,85.6
7.2,61.2,65.2,7.4,4,1,1,64.0
9.5,82.7,35.0,7.6,2,0,1,49.5
7.1,91.6,72.8,6.8,2,1,2,69.3
2.0,83.5,35.0,7.2,7,0,1,64.4
5.4,60.9,87.0,6.6,6,0,3,68.2
2.9,,67.5,5.7,4,0,1,47.6
4.4,88.9,80.0,6.2,0,0,2,54.0
8.8,57.5,51.5,6.5,1,0,1,63.3
6.9,,41.7,6.5,5,0,3,61.5
4.0,90.5,68.9,4.2,5,1,2,70.7
3.3,83.2,64.5,6.0,2,0,1,52.3
5.6,84.9,57.6,6.6,5,0,1,67.2
2.8,100.0,66.3,6.2,6,1,1,57.4
4.0,85.6,100.0,,3,1,1,70.2
6.2,87.9,77.5,7.1,2,0,3,71.1
8.0,100.0,80.7,5.2,7,0,2,90.0
6.8,77.4,77.7,4.5,8,1,3,77.6
0.5,70.4,87.2,6.1,5,1,1,50.2
6.2,85.1,62.1,7.4,4,1,3,68.6
5.7,85.3,35.0,8.5,4,0,2,44.8
6.4,73.7,62.2,7.4,2,1,2,46.9
9.1,67.6,77.2,4.7,1,1,3,73.9
1.0,100.0,50.5,6.2,7,1,3,55.4
4.2,83.9,62.4,6.8,5,1,3,62.0
6.8,71.2,54.6,6.7,2,1,3,64.7
2.0,91.0,87.5,7.1,6,1,2,76.8
8.7,78.7,76.2,5.4,7,1,3,83.2
6.3,77.0,74.8,6.6,5,1,3,82.7
7.4,86.7,74.3,7.0,6,0,3,79.6
4.2,64.5,64.4,7.5,4,0,2,56.3
7.3,84.2,68.0,5.5,4,1,1,68.3
7.9,100.0,47.2,6.1,3,1,2,58.9
6.0,85.6,35.0,4.0,5,0,1,56.0
6.0,75.5,67.3,5.8,5,0,1,46.0
6.1,73.9,69.9,5.9,3,1,2,58.9
3.6,75.1,83.1,5.3,4,1,2,61.8
5.2,77.0,88.6,6.7,6,0,2,66.0
5.2,75.5,88.5,6.4,4,0,3,66.5
6.3,91.0,50.0,4.0,1,0,3,67.3
7.7,59.2,59.7,6.8,6,1,2,70.8
3.2,90.3,72.2,5.4,6,1,2,59.8
5.2,75.4,100.0,7.1,3,1,3,71.7
8.8,84.5,87.2,5.0,2,0,1,64.6
3.9,66.5,81.8,6.5,4,1,3,67.1
3.7,95.9,59.2,6.2,4,0,3,59.1
5.9,94.9,51.8,6.9,3,1,3,52.9
7.4,91.5,76.8,6.6,4,0,1,72.2
5.5,61.8,48.5,6.2,4,0,2,52.7
8.4,89.9,61.4,4.7,2,1,3,75.1
7.4,84.9,63.3,4.7,6,0,1,65.3
7.4,60.7,88.9,5.8,3,1,1,64.4
6.7,79.7,59.7,,6,1,2,78.9
10.6,84.4,35.0,5.8,0,0,2,58.9
5.0,86.7,72.6,7.3,4,0,3,71.7
1.1,82.1,54.5,6.2,4,1,2,44.9
9.0,83.5,65.6,5.3,3,1,3,76.8
4.5,97.7,63.7,6.2,6,0,1,54.8
5.7,94.7,60.9,6.8,2,0,2,59.2
8.4,,76.9,6.9,2,1,1,53.4
2.0,76.2,42.0,8.8,4,0,1,39.8
2.7,78.0,57.2,5.7,3,1,1,55.8
2.0,59.0,75.3,6.4,2,1,3,47.0
3.8,81.1,55.8,7.0,3,0,2,57.2
6.5,95.0,40.9,6.5,5,1,1,69.7
6.7,67.0,75.0,5.9,4,0,1,61.2
6.1,84.0,81.8,4.6,4,0,2,73.7
2.4,69.0,64.3,5.9,5,1,3,57.5
0.4,71.9,35.6,5.2,4,1,3,38.5
5.6,97.7,75.6,4.4,9,1,1,79.2
4.5,73.5,40.1,5.5,2,0,3,57.2
6.5,85.5,69.6,5.2,7,1,2,67.8
7.0,57.5,51.7,7.2,2,0,3,48.5
5.8,100.0,47.6,7.2,6,0,1,57.0
7.2,87.2,58.4,5.4,4,0,2,70.0
6.0,77.8,62.3,6.2,4,0,3,69.4
6.7,86.9,55.3,4.3,2,0,1,52.3
3.9,63.1,73.8,5.9,4,1,3,45.9
5.1,94.2,58.3,7.0,0,0,1,50.7
5.9,76.1,79.7,7.5,5,1,3,76.0
7.3,77.6,69.2,5.6,5,1,3,70.5
4.6,74.1,54.5,7.8,1,0,3,53.9
6.6,73.0,52.0,4.7,5,0,3,55.9
4.9,88.3,40.3,5.0,3,0,1,54.4
5.2,83.1,69.4,7.4,3,0,2,64.5
7.3,87.8,59.7,8.5,2,1,3,73.0
1.1,79.9,35.0,,4,1,1,40.7
2.6,86.2,57.0,6.5,2,1,1,52.8
2.2,75.0,51.5,4.0,2,0,1,41.8
0.4,100.0,88.6,4.1,3,0,3,54.1
4.0,61.2,39.5,6.7,2,0,1,40.7
7.1,95.1,43.4,6.1,4,1,2,68.2
4.9,96.4,81.6,5.2,3,0,2,74.1
5.9,69.8,85.4,6.6,7,0,2,73.4
7.9,100.0,53.8,6.6,3,1,3,65.9
8.4,91.9,55.5,7.6,5,1,3,70.4
5.3,91.7,74.2,6.7,1,0,2,60.7
8.5,80.3,35.0,8.0,2,1,3,62.3
5.7,77.4,37.1,6.5,2,0,1,45.7
3.7,77.5,60.8,6.4,1,0,3,45.1
4.2,84.7,88.2,7.8,2,0,1,57.1
2.2,96.8,58.5,5.3,4,0,1,39.3
3.5,82.2,66.5,9.0,3,1,1,39.7
4.7,69.1,82.0,7.0,2,0,1,56.9
7.3,89.9,96.6,7.0,9,1,3,100.0
9.3,91.1,56.3,7.1,2,0,1,77.8
2.5,87.9,64.7,8.8,2,1,3,53.0
6.4,88.9,92.3,7.5,8,1,2,84.9
3.2,76.7,42.2,4.6,5,0,1,34.8
6.5,68.9,80.4,8.2,5,1,2,63.4
5.2,69.6,49.7,6.1,2,1,1,41.6
1.5,60.4,66.5,6.6,4,1,1,44.4
7.5,82.8,61.4,5.0,4,0,2,63.2
4.2,79.0,50.6,7.1,2,1,3,55.6
4.3,74.7,50.3,5.7,5,0,2,56.0
3.1,44.5,69.1,6.6,2,1,1,41.7
4.1,65.0,79.9,6.2,3,1,3,60.7
6.4,93.5,63.1,8.8,3,0,3,63.3
5.1,72.0,66.1,8.9,3,1,1,51.2
6.2,84.3,73.6,6.6,4,1,3,62.2
6.3,63.3,50.4,6.6,3,1,3,59.9
8.4,97.3,76.1,6.1,5,0,2,76.4
4.7,78.3,77.3,7.8,3,0,1,49.9
2.3,83.5,100.0,6.1,5,0,2,66.6
7.8,100.0,59.4,6.0,2,0,2,60.1
4.8,98.2,58.1,7.7,5,1,1,74.4
8.0,76.3,76.5,5.9,5,0,1,65.8
6.3,72.9,77.3,6.5,2,1,1,66.7
5.2,76.1,57.0,4.6,2,1,1,58.0
6.3,86.1,59.0,7.3,4,1,3,61.8
9.8,78.7,73.1,8.8,1,0,1,71.7
10.1,75.3,52.6,7.4,3,1,2,72.1
5.7,97.6,58.8,8.3,2,1,2,66.0
5.9,78.6,66.3,5.5,4,1,1,63.1
7.9,100.0,79.9,6.8,3,0,3,71.1
3.6,81.1,55.9,5.4,8,1,3,65.0
6.2,100.0,37.4,6.2,6,0,2,58.6
5.4,84.3,36.3,7.4,3,1,3,57.7
6.2,91.6,46.1,6.6,7,0,1,67.5
3.7,71.3,45.3,4.8,6,0,3,54.1
2.0,69.8,62.7,4.9,4,1,3,52.6
0.9,85.5,47.2,4.8,6,0,2,49.5
3.0,91.9,54.5,7.1,5,1,3,64.4
4.5,80.5,53.4,9.0,9,1,3,77.1
4.9,64.6,58.4,8.1,7,0,2,58.7
9.8,63.7,84.8,4.2,6,0,1,73.9
7.9,62.9,74.9,8.2,4,0,1,71.7
3.4,58.8,65.2,,5,1,1,49.3
6.3,81.3,58.1,4.6,3,1,1,49.5
4.6,93.5,58.5,6.1,7,0,3,69.1
4.9,79.8,69.9,7.8,3,0,1,58.1
5.9,52.9,73.8,7.2,3,0,3,51.8
6.9,77.7,51.4,4.9,5,1,1,61.8
4.8,78.0,65.5,7.2,1,0,2,64.1
7.8,100.0,35.0,4.0,4,0,2,49.9
3.0,62.5,68.2,6.2,2,1,1,53.7
5.5,75.3,76.4,7.9,5,0,1,49.6
11.2,100.0,60.8,6.5,5,0,1,77.2
6.0,85.4,92.2,5.9,2,1,1,80.9
8.7,86.8,51.8,7.6,3,1,3,68.3
5.7,81.4,68.3,7.7,3,0,2,63.7
6.8,84.0,64.5,8.1,5,1,3,76.9
5.4,89.3,63.5,7.5,5,0,3,57.2
5.1,70.3,63.3,7.8,5,1,2,62.0
3.8,90.5,66.6,7.4,6,0,3,66.4
6.4,63.5,77.7,6.8,5,1,1,76.2
3.6,83.9,85.7,6.6,8,0,2,63.0
7.0,82.1,65.0,6.2,1,1,2,60.6
7.9,,77.2,5.0,5,1,2,65.6
6.3,79.7,54.5,5.4,6,0,3,56.9
4.9,72.5,76.5,6.2,6,0,3,72.7
6.5,67.1,53.6,6.8,5,1,2,59.9
4.8,75.8,81.4,8.2,3,0,1,59.1
7.6,66.8,98.2,6.4,3,1,2,71.7
1.5,83.9,63.2,7.7,3,1,3,51.5
4.8,66.2,35.0,7.8,4,0,3,45.5
1.1,88.5,56.8,6.2,3,0,3,42.0
2.2,65.8,83.5,7.2,4,1,1,54.2
8.5,73.2,73.3,6.2,2,0,1,62.7
7.5,72.5,68.7,8.1,3,1,2,63.1
3.9,95.9,80.1,7.3,2,0,2,65.8
2.2,84.0,72.3,5.1,6,0,2,58.9
0.0,77.5,83.3,6.7,2,0,3,48.7
4.3,86.0,78.8,8.5,5,0,2,67.3
10.8,54.7,87.8,6.3,3,1,2,89.1
6.5,79.5,70.4,7.0,4,0,3,80.7
4.3,100.0,78.6,7.2,8,1,2,70.1
6.5,81.6,60.4,5.3,9,1,2,64.6
2.1,80.8,56.0,7.1,3,0,1,40.3
4.8,86.6,90.6,4.8,0,0,2,69.2
5.7,90.7,68.2,5.7,8,1,2,70.1
5.3,56.0,77.1,7.8,2,1,1,58.1
7.2,59.8,66.9,6.9,1,1,1,68.8
6.3,82.5,56.2,6.1,2,0,3,59.5
7.0,71.4,65.2,7.0,3,1,1,65.9
4.0,95.7,86.5,6.4,1,0,1,66.1
7.5,76.2,73.3,6.5,3,1,1,63.1
9.1,56.8,39.3,7.3,4,0,1,60.3
3.4,64.8,61.8,5.6,3,1,2,44.6
3.5,47.0,91.7,6.5,1,0,2,60.1
8.4,77.2,61.8,6.1,6,1,2,67.6
5.1,77.7,38.0,4.6,4,0,2,45.1
8.6,74.9,93.4,5.4,3,1,2,70.4
4.5,92.9,75.2,8.4,4,0,3,64.4
8.7,94.4,63.9,7.0,1,1,1,66.7
5.8,78.0,59.4,4.9,7,0,3,49.3
6.1,54.4,81.2,4.7,6,0,1,58.6
8.9,87.4,56.9,6.4,5,1,3,71.4
4.7,86.7,82.2,8.4,5,0,2,75.2
3.4,83.7,73.1,6.3,3,0,2,60.6
4.5,91.8,68.7,8.1,6,1,1,63.3
6.5,66.0,67.2,6.9,5,1,2,61.6
2.1,100.0,62.4,7.1,5,1,2,59.3
6.9,68.5,80.7,4.9,5,0,3,77.7
